keyword,kd,vol_known,vol_3mo,jun_2026,growth_pct,peak_2023
mw4 hajin,30,10,,40,0,40
dmz hajin map,38,10,,40,0,40
dmz hajin location,38,,,0,,0
hajin map,40,10,,110,100,110
hajin exclusion zone,,10,,90,0,90
hajin extraction,,,,0,,0
dmz korea map,,1100,,1000,,1600
