keyword,kd,vol_known,vol_3mo,jun_2026,growth_pct,peak_2023
dmz hospital,30,10,,10,,10
dmz military base,31,,,0,,0
dmz hajin location,38,,,0,,0
hajin city dmz,38,,,0,,0
dmz prison key,38,,,0,,0
dmz fallout reactor,40,,,0,,0
dmz hajin city guide,40,,,0,,0
dmz casino,42,,,0,,0
dmz farmlands,,,,0,,0
dmz broadcast,,,,0,,0
dmz military base key,,,,0,,0
dmz best poi,,,,0,,0
dmz poi guide,,,,0,,0
